   0  def shellsort(var list: int[], var size: int): int[]
              [0033, 0002] (0022,             BLOCKEND) {end}
  34  list = shellsort(list, size);
              [0034, 0002] (0001,                   ID) {list}
              [0034, 0007] (0027,               ASSIGN) {=}
              [0034, 0009] (0001,                   ID) {shellsort}
              [0034, 0018] (0019,          PARAMSBEGIN) {(}
              [0034, 0019] (0001,                   ID) {list}
              [0034, 0023] (0026,            SEPARATOR) {,}
              [0034, 0025] (0001,                   ID) {size}
              [0034, 0029] (0020,            PARAMSEND) {)}
              [0034, 0030] (0025,              LINEEND) {;}
  35  for(var i = 0, size, 1)
              [0035, 0002] (0045,              LOOPFOR) {for}
              [0035, 0005] (0019,          PARAMSBEGIN) {(}
              [0035, 0006] (0047,                  VAR) {var}
              [0035, 0010] (0001,                   ID) {i}
              [0035, 0012] (0027,               ASSIGN) {=}
              [0035, 0014] (0030,            CONSTLINT) {0}
              [0035, 0015] (0026,            SEPARATOR) {,}
              [0035, 0017] (0001,                   ID) {size}
              [0035, 0021] (0026,            SEPARATOR) {,}
              [0035, 0023] (0030,            CONSTLINT) {1}
              [0035, 0024] (0020,            PARAMSEND) {)}
  36  begin
              [0036, 0002] (0021,           BLOCKBEGIN) {begin}
  37  print(list[i]);
              [0037, 0004] (0035,                PRINT) {print}
              [0037, 0009] (0019,          PARAMSBEGIN) {(}
              [0037, 0010] (0001,                   ID) {list}
              [0037, 0014] (0017,           ARRAYBEGIN) {[}
              [0037, 0015] (0001,                   ID) {i}
              [0037, 0016] (0018,             ARRAYEND) {]}
              [0037, 0017] (0020,            PARAMSEND) {)}
              [0037, 0018] (0025,              LINEEND) {;}
  38  end
              [0038, 0002] (0022,             BLOCKEND) {end}
  39  return 0;
              [0039, 0002] (0024,             FCRETURN) {return}
              [0039, 0009] (0030,            CONSTLINT) {0}
              [0039, 0010] (0025,              LINEEND) {;}
  40  end
              [0040, 0000] (0022,             BLOCKEND) {end}
              [0041, 0004] (0051,                  EOF) {EOF}
